iter	Passed	Remaining
0	1	126
1	2	118
2	3	112
3	4	105
4	5	104
5	6	101
6	7	100
7	8	99
8	9	97
9	10	96
10	11	95
11	12	94
12	13	92
13	14	91
14	15	90
15	17	89
16	18	88
17	19	86
18	20	85
19	21	84
20	22	83
21	23	82
22	24	81
23	25	80
24	26	79
25	27	78
26	28	77
27	29	76
28	30	75
29	32	74
30	33	73
31	34	72
32	35	71
33	36	70
34	37	70
35	38	68
36	39	67
37	40	66
38	41	65
39	43	64
40	44	63
41	44	61
42	45	60
43	46	59
44	47	58
45	48	57
46	49	56
47	51	55
48	52	54
49	53	53
50	54	52
51	55	51
52	56	50
53	57	48
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	40
62	67	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	33
69	74	32
70	75	30
71	76	29
72	77	28
73	79	27
74	80	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	86	20
81	87	19
82	88	18
83	89	17
84	90	16
85	91	14
86	93	13
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	100	6
94	101	5
95	102	4
96	103	3
97	104	2
98	106	1
99	107	0
