iter	Passed	Remaining
0	134	134706
1	136	68098
2	138	45928
3	139	34808
4	141	28091
5	142	23626
6	144	20541
7	146	18173
8	148	16300
9	149	14780
10	150	13542
11	151	12512
12	153	11644
13	154	10902
14	156	10262
15	158	9726
16	159	9229
17	161	8792
18	162	8388
19	163	8029
20	165	7706
21	166	7410
22	168	7136
23	169	6910
24	171	6698
25	173	6489
26	174	6292
27	175	6104
28	177	5934
29	179	5794
30	180	5644
31	181	5502
32	183	5372
33	184	5255
34	186	5153
35	188	5046
36	189	4938
37	191	4839
38	192	4742
39	193	4650
40	195	4565
41	196	4484
42	197	4404
43	200	4346
44	201	4277
45	202	4207
46	204	4141
47	205	4076
48	206	4015
49	208	3956
50	209	3905
51	211	3861
52	213	3818
53	215	3770
54	216	3722
55	218	3676
56	219	3628
57	220	3582
58	221	3539
59	223	3497
60	225	3469
61	227	3439
62	228	3401
63	230	3364
64	231	3328
65	232	3291
66	233	3257
67	235	3225
68	236	3194
69	238	3162
70	239	3138
71	241	3113
72	242	3085
73	244	3057
74	245	3029
75	246	3001
76	248	2975
77	249	2949
78	250	2923
79	252	2898
80	253	2877
81	255	2860
82	256	2837
83	258	2816
84	259	2796
85	261	2778
86	262	2759
87	264	2739
88	265	2720
89	267	2701
90	269	2689
91	270	2671
92	272	2653
93	273	2635
94	275	2619
95	276	2603
96	277	2586
97	279	2569
98	280	2554
99	282	2538
100	283	2523
101	285	2512
102	287	2499
103	288	2485
104	289	2470
105	291	2457
106	292	2444
107	294	2431
108	295	2418
109	297	2407
110	299	2396
111	301	2387
112	302	2375
113	304	2363
114	305	2350
115	307	2339
116	309	2335
117	310	2324
118	312	2311
119	314	2303
120	315	2294
121	316	2280
122	318	2269
123	319	2257
124	320	2246
125	322	2235
126	323	2223
127	324	2211
128	325	2200
129	327	2191
130	329	2185
131	331	2178
132	332	2167
133	333	2157
134	335	2148
135	336	2138
136	337	2128
137	339	2119
138	340	2110
139	342	2101
140	343	2095
141	345	2085
142	346	2076
143	348	2069
144	349	2061
145	351	2053
146	352	2044
147	353	2036
148	355	2027
149	356	2021
150	358	2017
151	360	2013
152	362	2004
153	363	1998
154	365	1991
155	367	1986
156	368	1980
157	370	1972
158	371	1966
159	374	1963
160	375	1954
161	376	1946
162	377	1938
163	378	1931
164	380	1924
165	381	1917
166	382	1909
167	384	1902
168	385	1895
169	387	1889
170	388	1884
171	389	1877
172	391	1870
173	392	1863
174	394	1857
175	395	1850
176	396	1844
177	398	1837
178	399	1831
179	400	1825
180	402	1820
181	404	1817
182	405	1811
183	407	1805
184	408	1799
185	409	1793
186	411	1788
187	412	1783
188	414	1778
189	416	1774
190	418	1772
191	419	1767
192	421	1761
193	422	1756
194	424	1750
195	425	1744
196	426	1738
